Fund,Country,Year,Investment_Type,Target_Company,Sector,Amount_USD_Millions,Stake_Percentage,Geographic_Region,Description,Source_Reference
QIA,Qatar,2015,Acquisition,Canary Wharf Group plc,Real Estate,Not Disclosed,50%,United Kingdom,Acquired 50% stake in major London property,[2][4]
QIA,Qatar,2015,Strategic Announcement,US Investment Program,Multiple,35000,N/A,United States,Announced $35B investment over 5 years,[14][17]
QIA,Qatar,2016,Acquisition,National Grid UK Gas Distribution,Infrastructure,Not Disclosed,61%,United Kingdom,Consortium acquisition with Macquarie/Allianz/Hermes/CIC,[8]
QIA,Qatar,2017,Acquisition,Gigamon,Technology,1600,N/A,United States,Joint acquisition with Elliott Investment,[8]
QIA,Qatar,2018,Investment,Compass,Real Estate Tech,400,N/A,United States,Led funding round with Softbank Vision Fund,[8]
QIA,Qatar,2018,Divestiture,Veolia Environnement,Utilities,Not Disclosed,4.6%,Europe,Sold stake,[8]
QIA,Qatar,2018,Divestiture,Lifestyle International Holdings,Retail,Not Disclosed,23.16%,Hong Kong,Sold entire stake,[8]
QIA,Qatar,2019,Investment,BYJU'S,EdTech,150,N/A,India,Led investment in education startup,[8]
QIA,Qatar,2020,Policy Change,Hydrocarbon Divestment,Energy,N/A,N/A,Global,Announced no new hydrocarbon investments,[2][3]
QIA,Qatar,2020,Investment,CureVac,Biotechnology,Not Disclosed,N/A,Germany,COVID vaccine development (later dropped),[16]
QIA,Qatar,2020,Investment,Sub-Saharan Renewable Energy,Renewable Energy,Not Disclosed,N/A,Africa,Investment with Enel Green Power,[16]
QIA,Qatar,2021,Investment,Eat Just,Food Tech,200,N/A,United States,Led funding in plant-based food startup,[3][16]
QIA,Qatar,2021,Investment,Rebel Foods,Food Tech,175,N/A,India,Led funding in cloud kitchen startup,[3][14]
QIA,Qatar,2021,Investment,Trendyol,E-commerce,1500,N/A,Turkey,Participated in funding round,[2][3]
QIA,Qatar,2022,Investment,Snyk,Cybersecurity,196.5,N/A,United States,Led funding round,[5]
QIA,Qatar,2022,Investment,Swiggy,Food Tech,700,N/A,India,Participated in funding round,[5]
QIA,Qatar,2022,Investment,Innovafeed,Agriculture Tech,250,N/A,France,Led funding round,[5]
QIA,Qatar,2023,Investment,The North Road Company,Real Estate,150,N/A,United States,Investment in real estate company,[5]
QIA,Qatar,2023,Investment,Credit Suisse Group,Financial Services,Not Disclosed,6%,Switzerland,Doubled stake becoming 2nd largest shareholder,[5]
QIA,Qatar,2023,Investment,Builder.ai,Technology,250,N/A,United Kingdom,Led Series D funding,[5]
QIA,Qatar,2023,Investment,Reliance Retail Ventures,Retail,1000,1%,India,Strategic stake in major retailer,[2][3][5]
QIA,Qatar,2024,Investment,ChinaAMC,Asset Management,Not Disclosed,10%,China,Agreed to purchase (pending approval),[5]
QIA,Qatar,2024,Investment,xAI,AI Technology,6000,N/A,United States,Participated in Elon Musk's AI company fundraising,[5]
QIA,Qatar,2024,Investment,Cresta,AI Technology,125,N/A,United States,Led funding round in AI platform,[2]
QIA,Qatar,2024,Investment,RWE,Renewable Energy,2630,N/A,Germany,Major investment in renewable energy,[2]
QIA,Qatar,2025,Acquisition,Janus Henderson Investors,Asset Management,Not Disclosed,N/A,Global,Acquisition completed,[5][7]
QIA,Qatar,2025,Investment,Monumental Sports & Entertainment,Sports,Not Disclosed,N/A,United States,Private equity investment,[5][7]
QIA,Qatar,2025,Investment,Isagen,Energy,500,15%,Colombia,Increased stake in energy company,[5]
QIA,Qatar,2025,Investment,Ivanhoe Mines,Mining,500,4%,Canada,Investment in mining company,[5]
QIA,Qatar,2025,Investment,Rebel Foods (Follow-on),Food Tech,25,N/A,India,Additional investment,[14]
QIA,Qatar,2025,Strategic Commitment,US Economy Investment,Multiple,500000,N/A,United States,Pledged $500B over next decade,[2]
PIF,Saudi Arabia,2015,Organizational,Restructuring,Governance,N/A,N/A,Saudi Arabia,Oversight moved to CEDA; MBS appointed Chairman,[2][10]
PIF,Saudi Arabia,2016,Investment,Uber,Transportation Tech,3500,5%,United States,Strategic stake in ride-sharing company,[2][6][11]
PIF,Saudi Arabia,2016,Investment,SoftBank Vision Fund,Technology,45000,N/A,Global,Commitment over 5 years to tech fund,[2][6][10]
PIF,Saudi Arabia,2017,Investment,Blackstone Infrastructure Fund,Infrastructure,20000,50%,Global,Anchor investor in $40B fund,[10]
PIF,Saudi Arabia,2018,Investment,Lucid Motors,Electric Vehicles,1000,Majority,United States,Over $1B investment enabling Lucid Air launch,[12][33][34]
PIF,Saudi Arabia,2018,Giga-Project,Qiddiya,Entertainment,Not Disclosed,100%,Saudi Arabia,376 sq km entertainment capital launched,[12]
PIF,Saudi Arabia,2018,Giga-Project,Red Sea Development,Tourism,Not Disclosed,100%,Saudi Arabia,Luxury tourism project approved,[12]
PIF,Saudi Arabia,2018,Debt,Loan Facility,Financial Services,11000,N/A,Global,First debt instrument in strategy,[12]
PIF,Saudi Arabia,2019,IPO Proceeds,Saudi Aramco IPO,Energy,Not Disclosed,N/A,Saudi Arabia,Capital from Aramco IPO,[12]
PIF,Saudi Arabia,2019,Giga-Project,NEOM,Smart City,500000,100%,Saudi Arabia,Founded $500B smart city project,[12]
PIF,Saudi Arabia,2020,Investment,Boeing,Aerospace,713.7,N/A,United States,COVID market opportunity,[11]
PIF,Saudi Arabia,2020,Investment,BP,Energy,827.8,N/A,United Kingdom,COVID market opportunity,[11]
PIF,Saudi Arabia,2020,Investment,Facebook (Meta),Technology,522,N/A,United States,COVID market opportunity,[11]
PIF,Saudi Arabia,2020,Investment,Disney,Entertainment,495.8,N/A,United States,COVID market opportunity,[11]
PIF,Saudi Arabia,2020,Investment,Citigroup,Financial Services,522,N/A,United States,COVID market opportunity,[11]
PIF,Saudi Arabia,2020,Investment,Bank of America,Financial Services,487.6,N/A,United States,COVID market opportunity,[11]
PIF,Saudi Arabia,2020,Investment,Carnival Corporation,Cruise/Tourism,Not Disclosed,8.2%,United States,Investment in cruise operator,[12]
PIF,Saudi Arabia,2020,Investment,Jio Platforms,Technology,1500,2.32%,India,Strategic investment in Jio,[12]
PIF,Saudi Arabia,2020,Giga-Project,ROSHN,Real Estate,Not Disclosed,100%,Saudi Arabia,Residential development company launched,[12]
PIF,Saudi Arabia,2020,Sports,Newcastle United Agreement,Sports,300,80%,United Kingdom,Deal agreed (completed Oct 2021),[12][30]
PIF,Saudi Arabia,2021,Investment,Electronic Arts,Gaming,Not Disclosed,N/A,United States,Stake in video game company,[13]
PIF,Saudi Arabia,2021,Investment,Take-Two Interactive,Gaming,Not Disclosed,N/A,United States,Stake in video game company,[13]
PIF,Saudi Arabia,2021,Investment,Activision Blizzard,Gaming,Not Disclosed,N/A,United States,Stake in video game company,[13]
PIF,Saudi Arabia,2021,Sports,Newcastle United,Sports,300,80%,United Kingdom,Takeover completed,[30][31]
PIF,Saudi Arabia,2021,Sports,LIV Golf,Sports,5000+,100%,Global,Established LIV Golf Investments,[13][30]
PIF,Saudi Arabia,2022,Investment,Nintendo,Gaming,Not Disclosed,5%,Japan,Strategic stake in gaming giant,[13]
PIF,Saudi Arabia,2022,Investment,Embracer Group,Gaming,1000,8%,Sweden,Investment in gaming company,[13]
PIF,Saudi Arabia,2022,Sports,LIV Golf Launch,Sports,N/A,100%,Global,LIV Golf officially launched,[30][31]
PIF,Saudi Arabia,2022,Investment,Credit Suisse,Financial Services,1500,N/A,Switzerland,Investment in Swiss bank,[13]
PIF,Saudi Arabia,2022,Asset Transfer,Saudi Aramco,Energy,Not Disclosed,4%,Saudi Arabia,4% stake transferred to PIF,[2][3][21]
PIF,Saudi Arabia,2023,Asset Transfer,Saudi Aramco,Energy,Not Disclosed,4%,Saudi Arabia,Another 4% to Sanabil (PIF-controlled),[21]
PIF,Saudi Arabia,2023,Acquisition,Rocco Forte Hotels,Hospitality,1750,49%,Europe,£1.4B valuation acquisition,[14]
PIF,Saudi Arabia,2023,Sports,LIV Golf/PGA Merger,Sports,Billions,N/A,Global,Merger announced,[14]
PIF,Saudi Arabia,2023,Investment,Heathrow Airport,Infrastructure,Not Disclosed,10%,United Kingdom,Initial stake acquisition,[14]
PIF,Saudi Arabia,2023,Giga-Project,Diriyah,Tourism/Culture,Not Disclosed,100%,Saudi Arabia,Designated as 5th giga-project,[25]
PIF,Saudi Arabia,2024,Asset Transfer,Saudi Aramco,Energy,Not Disclosed,8%,Saudi Arabia,Additional 8% to PIF entities (16% total),[21]
PIF,Saudi Arabia,2024,Investment,Heathrow Airport,Infrastructure,4120,15%,United Kingdom,Increased to 15% total stake,[14]
PIF,Saudi Arabia,2024,Investment,HOLON GmbH,Electric Vehicles,Not Disclosed,38%,Germany,Autonomous shuttle company,[14]
PIF,Saudi Arabia,2024,Sports,Tennis Tours,Sports,2000,N/A,Global,$2B offer for ATP/WTA Tours,[14]
PIF,Saudi Arabia,2024,Investment,Lucid Motors,Electric Vehicles,1500,Majority,United States,Additional funding ($8B cumulative),[34]
PIF,Saudi Arabia,2024,Sports,Newcastle United,Sports,Not Disclosed,85%,United Kingdom,Increased stake from 80%,[30]
PIF,Saudi Arabia,2025,Acquisition,Electronic Arts,Gaming,28800,Majority,United States,Largest 2025 acquisition,[14]
PIF,Saudi Arabia,2025,Investment,Saudi Reinsurance Company,Financial Services,Not Disclosed,23.08%,Saudi Arabia,Capital increase participation,[14]
PIF,Saudi Arabia,2025,Partnership,Lucid-Uber-Nuro,Electric Vehicles,Not Disclosed,N/A,United States,20000 Lucid autonomous vehicles for Uber,[34]
QIA,Qatar,Holdings,Harrods,Retail,Not Disclosed,100%,United Kingdom,Full ownership of luxury department store,[2][11][13]
QIA,Qatar,Holdings,The Shard,Real Estate,Not Disclosed,100%,United Kingdom,London skyscraper ownership,[2][11]
QIA,Qatar,Holdings,Heathrow Airport,Infrastructure,Not Disclosed,20%,United Kingdom,Stake in major airport,[4][11]
QIA,Qatar,Holdings,Volkswagen AG,Automotive,Not Disclosed,17%,Germany,Biggest shareholder in auto giant,[11][12][13][14]
QIA,Qatar,Holdings,Porsche,Automotive,Not Disclosed,Significant,Germany,Significant stake,[11][13][14]
QIA,Qatar,Holdings,Barclays Plc,Financial Services,7500,12.7%,United Kingdom,2008 crisis investment,[11][12]
QIA,Qatar,Holdings,Iberdrola,Energy,Not Disclosed,N/A,Spain,Stake ownership,[2][11]
QIA,Qatar,Holdings,Hochtief,Construction,Not Disclosed,N/A,Germany,Investment stake,[11][13]
PIF,Saudi Arabia,Holdings,Saudi Aramco,Energy,Not Disclosed,16%,Saudi Arabia,Combined PIF and subsidiaries,[21]
PIF,Saudi Arabia,Holdings,Ma'aden,Mining,Not Disclosed,67%,Saudi Arabia,Major mining company,[21]
PIF,Saudi Arabia,Holdings,Saudi National Bank,Financial Services,Not Disclosed,Majority,Saudi Arabia,Largest bank in Saudi Arabia,[22]
PIF,Saudi Arabia,Holdings,NEOM,Smart City,500000,100%,Saudi Arabia,$500B giga-project,[24][25]
PIF,Saudi Arabia,Holdings,Red Sea Global,Tourism,Not Disclosed,100%,Saudi Arabia,Regenerative tourism giga-project,[24][25]
PIF,Saudi Arabia,Holdings,Qiddiya,Entertainment,Not Disclosed,100%,Saudi Arabia,Entertainment capital giga-project,[24][25]
PIF,Saudi Arabia,Holdings,ROSHN,Real Estate,Not Disclosed,100%,Saudi Arabia,Residential developer giga-project,[24][25]
PIF,Saudi Arabia,Holdings,Diriyah,Tourism/Culture,Not Disclosed,100%,Saudi Arabia,Cultural tourism giga-project,[24][25]
PIF,Saudi Arabia,Holdings,LIV Golf,Sports,5000+,100%,Global,Professional golf tour,[13][30][31]
PIF,Saudi Arabia,Holdings,Savvy Games Group,Gaming,Not Disclosed,100%,Saudi Arabia,Gaming investment vehicle,[25]
