Deal Year,Target Company,Sector,Geography,Deal Value (USD),Deal Type,Source URL
2015,POSCO Engineering & Construction,Infrastructure/Construction,Asia - developed (South Korea),$1.1 billion,38% Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2015/the-public-investment-fund/
2016,Saudi Aramco,Energy,Saudi Arabia,N/A,Ownership Transfer,https://en.wikipedia.org/wiki/Public_Investment_Fund
2016,SoftBank Vision Fund,Technology/Financial Services,Global/Multi-region,$45 billion commitment,Joint Venture,https://en.wikipedia.org/wiki/Public_Investment_Fund
2016,Uber Technologies,Technology/Transportation,United States,$3.5 billion,5% Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2016/saudi-arabian-pif/
2016,Americana Group,Hospitality/Food Services,Middle East & North Africa excluding Saudi Arabia,$2.4 billion (indirect via Adeptio),50% Stake Acquisition (indirect),https://www.pif.gov.sa/en/news-and-insights/press-releases/2016/pif-to-acquire-stake-in-americana-group/
2017,Blackstone Infrastructure Partnership,Infrastructure/Real Estate,Global/Multi-region (primarily US),$20 billion commitment,Joint Venture/Partnership,https://www.pif.gov.sa/en/news-and-insights/press-releases/2017/launch-40-dollar-billion-infrastructure/
2018,Magic Leap (Initial),Technology/AR-VR,United States,$400 million,Minority Stake,https://www.pif.gov.sa/en/news-and-insights/press-releases/2018/pif-invests-400-million-dollar/
2018,Lucid Motors,Automotive/Electric Vehicles,United States,$1 billion+,Majority Stake Acquisition,https://www.pif.gov.sa/en/news-and-insights/press-releases/2018/lucid-motors/
2018,AccorInvest,Real Estate/Hospitality,Europe (excluding UK - France),€4.4 billion (~$5.2B) share of sale,Co-investor in 57.5% acquisition,https://en.wikipedia.org/wiki/Four_Seasons_Hotels_and_Resorts
2020,BP,Energy,UK,$827.8 million,Minority Stake (Q1 - divested Q2),https://www.arabnews.com/node/1675796/business-economy
2020,Boeing,Aerospace/Manufacturing,United States,$713.7 million,Minority Stake (Q1 - divested Q2),https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Citigroup,Banks/Financial Services,United States,$521.9 million,Minority Stake (Q1 - divested Q2),https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2020,Facebook (Meta),Technology/Social Media,United States,$522 million,Minority Stake (Q1 - divested Q2),https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
