Deal Year,Target Company,Sector,Geography,Deal Value (USD),Deal Type,Source,Source URL
2025,"African Infrastructure & Mining (DRC, Mozambique, Zambia, Zimbabwe, Botswana, Burundi)",Mining/Infrastructure/Energy/Agriculture,Sub-Saharan Africa,$103 billion,Strategic Investment Pledge,"ByTheEast, Oxford Business Group",https://www.bytheeast.com/2025/10/06/qatars-push-into-africas-critical-minerals-seduction-or-substance/
2025,Brookfield - AI Infrastructure JV,Infrastructure/Technology,Global/Multi-region,$20 billion,Joint Venture,AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2025,Databricks,Technology/AI/Data,United States,Undisclosed,Funding Round Participation,AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2025,Daya Anagata Nusantara (Indonesia Sovereign Fund),"Multi-sector (Renewables, Healthcare, Tech)",Asia - Emerging,$4 billion,Joint Fund,"AGBI, Oxford Business Group",https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2025,India Infrastructure Commitment,Infrastructure/Technology/Manufacturing,Asia - Emerging,$10 billion,Strategic Commitment,Oxford Business Group,https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2025,Instabase,Technology/AI,United States,$100 million,Series D Funding,AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2025,Isagen (Colombia),Energy/Infrastructure,Latin America,$500 million,Stake Increase to 15%,AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2025,Ivanhoe Mines,Mining/Natural Resources,Sub-Saharan Africa,$500 million,Equity Investment (~4% stake),AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2025,Janus Henderson Investors,Financial Services/Asset Management,Global/Multi-region,Undisclosed,Acquisition,"AGBI, CB Insights",https://www.cbinsights.com/investor/qatar-investment-authority
2025,Monumental Sports & Entertainment,Sports/Entertainment,United States,$4.05 billion (5% stake),Equity Investment,"AGBI, TechCrunch",https://www.agbi.com/companies/qatar-investment-authority/
2025,Rebel Foods (follow-on),Technology/Food Tech,Asia - Emerging,$25 million,Follow-on Investment,IntellWings,https://intelliwings.com/blogposts/2025/04/01/the-qatar-investment-authority-a-small-nations-portfolio-powerhouse/
2025,xAI (Elon Musk),Technology/AI,United States,$20 billion (participation in Series E),Series E Funding Round,"Arabian Business, AGBI",https://www.arabianbusiness.com/industries/banking-finance/qatar-investment-authority-participates-in-xais-20-billion-funding-round
2024,ChinaAMC,Financial Services/Asset Management,Asia - Emerging,Undisclosed,10% Stake Agreement (pending regulatory approval),"AGBI, Oxford Business Group",https://www.agbi.com/companies/qatar-investment-authority/
2024,Cresta,Technology/AI,United States,$125 million,Funding Round (Led by QIA),"Wikipedia, AGBI",https://en.wikipedia.org/wiki/Qatar_Investment_Authority
2024,Kokusai Electric,Technology/Semiconductors,Asia - Developed,Undisclosed,5% Stake,"AGBI, TechCrunch",https://www.agbi.com/companies/qatar-investment-authority/
2024,McDonald's China/Hong Kong (via Trustar Capital),Retail/Consumer/Food,Asia - Emerging,$1 billion,Continuation Fund (Anchor Investor),AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2024,QIA Fund of Funds Program,Venture Capital/Multi-sector,Global/Multi-region,$1 billion,Fund of Funds (VC Program),"TechCrunch, QIA",https://techcrunch.com/2024/02/26/qia-to-invest-1-billion-in-international-and-regional-venture-capital-funds/
2024,RWE,Energy/Renewables,Europe (excluding UK),$2.63 billion (€2.4B),Strategic Equity Investment,"Wikipedia, AGBI",https://en.wikipedia.org/wiki/Qatar_Investment_Authority
2024,xAI (earlier round),Technology/AI,United States,$6 billion (Series C participation),Series C Funding Round,"TechCrunch, AGBI",https://techcrunch.com/2024/02/26/qia-to-invest-1-billion-in-international-and-regional-venture-capital-funds/
2023,Builder.ai,Technology/Software,UK,$250 million,Series D Funding (Led by QIA),"AGBI, TechCrunch",https://www.agbi.com/companies/qatar-investment-authority/
2023,Credit Suisse Group,Banks/Financial Services,Europe (excluding UK),Undisclosed,Stake Doubled to 6% (became 2nd largest shareholder),"AGBI, Global SWF",https://www.agbi.com/companies/qatar-investment-authority/
2023,Insider (Turkish AI Platform),Technology/AI/Marketing,Middle East & North Africa,$105 million,Co-investment with Esas Private Equity,"TechCrunch, AGBI",https://www.agbi.com/companies/qatar-investment-authority/
2023,Kingdee International Software,Technology/Software/Enterprise,Asia - Emerging,Undisclosed,4.26% Stake Acquisition,"TechCrunch, Crunchbase",https://www.crunchbase.com/organization/qatar-investment-authority
2023,Paris Saint-Germain (stake sale),Sports/Entertainment,Europe (excluding UK),€530 million (sold 12.5% to Arctos Partners),Partial Divestiture (retained 87.5%),"Business Wire, ESPN",https://www.businesswire.com/news/home/20231207539913/en/
2023,Park Lane Hotel (New York),Real Estate/Hospitality,United States,Undisclosed,Acquisition,AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2023,Reliance Retail Ventures,Retail/Consumer,Asia - Emerging,$1 billion,1% Stake,"Wikipedia, AGBI",https://en.wikipedia.org/wiki/Qatar_Investment_Authority
2023,The North Road Company,Infrastructure,Australia/Oceania,$150 million,Strategic Investment,"AGBI, TechCrunch",https://www.agbi.com/companies/qatar-investment-authority/
2022,Innovafeed,AgTech/Food,Europe (excluding UK),$250 million,Funding Round (Led by QIA),AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2022,Rolls-Royce SMR (Small Modular Reactor),Energy/Nuclear,UK,Undisclosed,Strategic Investment,Oxford Business Group,https://oxfordbusinessgroup.com/reports/qatar/2025-report/
2022,Snyk,Technology/Cybersecurity,United States/UK,$196.5 million,Funding Round (Led by QIA),"AGBI, TechCrunch",https://www.agbi.com/companies/qatar-investment-authority/
2022,Swiggy,Technology/Food Tech,Asia - Emerging,$700 million,Funding Round Participation,AGBI,https://www.agbi.com/companies/qatar-investment-authority/
2021,Eat Just,Technology/Food Tech,United States,$200 million,Funding Round (Led by QIA),"Wikipedia, Labiotech",https://www.labiotech.eu/in-depth/qatar-investment-authority-biotech/
2021,Rebel Foods,Technology/Food Tech,Asia - Emerging,$175 million,Funding Round (Led by QIA),"Wikipedia, IntellWings",https://intelliwings.com/blogposts/2025/04/01/the-qatar-investment-authority-a-small-nations-portfolio-powerhouse/
2021,Sub-Saharan African Renewable Energy Platform (with Enel),Infrastructure/Renewables,Sub-Saharan Africa,Undisclosed,Platform Investment/Joint Venture,"Tamarindo, Oxford Business Group",https://tamarindo.global/insight/analysis/is-qatar-eyeing-a-renewables-revolution/
2021,Trendyol,Retail/E-commerce,Middle East & North Africa,$1.5 billion,Funding Round Participation,"Wikipedia, AGBI",https://en.wikipedia.org/wiki/Qatar_Investment_Authority
2020,CureVac,Biotech/Healthcare,Europe (excluding UK),Undisclosed,Strategic Investment (mRNA COVID vaccine development),Labiotech,https://www.labiotech.eu/in-depth/qatar-investment-authority-biotech/
2020,Fluence Energy (Siemens/AES JV),Energy Storage/Infrastructure,United States,$125 million,Strategic Investment,"Oxford Business Group, Tamarindo",https://tamarindo.global/insight/analysis/is-qatar-eyeing-a-renewables-revolution/
